pickup_location,average_price,Zone,Borough
119,21.40457044,Highbridge,Bronx
185,21.54656081,Pelham Parkway,Bronx
206,21.64423533,Saint George/New Brighton,Staten Island
247,21.65081532,West Concourse,Bronx
99,21.87728175,Freshkills Park,Staten Island
156,21.91922976,Mariners Harbor,Staten Island
187,22.03548162,Port Richmond,Staten Island
168,22.14762346,Mott Haven/Port Morris,Bronx
240,22.36159791,Van Cortlandt Park,Bronx
221,22.39311206,Stapleton,Staten Island
208,22.40822282,Schuylerville/Edgewater Park,Bronx
51,22.50803902,Co-Op City,Bronx
115,22.60537834,Grymes Hill/Clifton,Staten Island
220,22.64740956,Spuyten Duyvil/Kingsbridge,Bronx
251,22.81414536,Westerleigh,Staten Island
259,22.94845226,Woodlawn/Wakefield,Bronx
245,23.68236281,West Brighton,Staten Island
184,24.01546887,Pelham Bay Park,Bronx
58,24.1455958,Country Club,Bronx
172,25.68600306,New Dorp/Midland Beach,Staten Island
23,25.95950718,Bloomfield/Emerson Hill,Staten Island
214,26.17076201,South Beach/Dongan Hills,Staten Island
109,26.17878534,Great Kills,Staten Island
6,26.74120666,Arrochar/Fort Wadsworth,Staten Island
118,26.74468432,Heartland Village/Todt Hill,Staten Island
84,27.17681568,Eltingville/Annadale/Prince's Bay,Staten Island
5,27.37488009,Arden Heights,Staten Island
31,28.38106686,Bronx Park,Bronx
176,28.61363686,Oakwood,Staten Island
44,29.76080677,Charleston/Tottenville,Staten Island
204,30.20497558,Rossville/Woodrow,Staten Island
200,30.8485538,Riverdale/North Riverdale/Fieldston,Bronx
110,34.41845011,Great Kills Park,Staten Island
46,35.74094382,City Island,Bronx
199,54.507,Rikers Island,Bronx
1,65.06947368,Newark Airport,EWR
216,19.27631806,South Ozone Park,Queens
215,19.32628881,South Jamaica,Queens
197,19.95232817,Richmond Hill,Queens
173,20.32439971,North Corona,Queens
180,20.51103571,Ozone Park,Queens
83,20.51508858,Elmhurst/Maspeth,Queens
82,20.65095949,Elmhurst,Queens
207,20.6718226,Saint Michaels Cemetery/Woodside,Queens
260,20.82395066,Woodside,Queens
130,20.97566598,Jamaica,Queens
73,20.98367264,East Flushing,Queens
102,21.13598365,Glendale,Queens
218,21.18638495,Springfield Gardens North,Queens
56,21.23718474,Corona,Queens
129,21.26073495,Jackson Heights,Queens
171,21.31903462,Murray Hill-Queens,Queens
205,21.37999202,Saint Albans,Queens
10,21.50635689,Baisley Park,Queens
139,21.65398669,Laurelton,Queens
258,22.10295695,Woodhaven,Queens
122,22.13111773,Hollis,Queens
134,22.44257379,Kew Gardens,Queens
160,22.46630714,Middle Village,Queens
219,22.46667847,Springfield Gardens South,Queens
28,22.48597554,Briarwood/Jamaica Hills,Queens
192,22.64820245,Queensboro Hill,Queens
196,22.65426361,Rego Park,Queens
7,22.92065811,Astoria,Queens
57,23.06623246,Corona,Queens
191,23.07180411,Queens Village,Queens
131,23.0776313,Jamaica Estates,Queens
124,23.07852825,Howard Beach,Queens
9,23.14009573,Auburndale,Queens
157,23.16986156,Maspeth,Queens
121,23.27972759,Hillcrest/Pomonok,Queens
203,23.34918225,Rosedale,Queens
135,23.38184871,Kew Gardens Hills,Queens
198,23.45675723,Ridgewood,Queens
226,23.55666142,Sunnyside,Queens
16,23.71342801,Bayside,Queens
98,23.83150214,Fresh Meadows,Queens
223,23.86652486,Steinway,Queens
193,24.14822221,Queensbridge/Ravenswood,Queens
179,24.19129642,Old Astoria,Queens
95,24.28486182,Forest Hills,Queens
8,24.35655075,Astoria Park,Queens
70,24.72229757,East Elmhurst,Queens
96,24.83413938,Forest Park/Highland Park,Queens
92,25.02897863,Flushing,Queens
53,25.36565123,College Point,Queens
252,25.5276071,Whitestone,Queens
38,25.74793836,Cambria Heights,Queens
19,26.41014559,Bellerose,Queens
146,26.8321573,Long Island City/Queens Plaza,Queens
175,27.09683694,Oakland Gardens,Queens
15,27.12221507,Bay Terrace/Fort Totten,Queens
86,27.37407101,Far Rockaway,Queens
145,28.10159338,Long Island City/Hunters Point,Queens
30,28.44174258,Broad Channel,Queens
64,28.76960507,Douglaston,Queens
117,29.30669505,Hammels/Arverne,Queens
201,31.58967578,Rockaway Park,Queens
101,32.3606438,Glen Oaks,Queens
2,33.87828157,Jamaica Bay,Queens
93,43.32548046,Flushing Meadows-Corona Park,Queens
27,43.43312585,Breezy Point/Fort Tilden/Riis Beach,Queens
253,43.56577911,Willets Point,Queens
138,56.22941516,LaGuardia Airport,Queens
132,64.90513228,JFK Airport,Queens
