pickup_location,avg_count,Borough,Zone
113,2877.024630541872,Manhattan,Greenwich Village North
211,2893.1200657894738,Manhattan,SoHo
129,2912.266009852217,Queens,Jackson Heights
141,2912.902960526316,Manhattan,Lenox Hill West
188,2926.1428571428573,Brooklyn,Prospect-Lefferts Gardens
158,2931.07881773399,Manhattan,Meatpacking/West Village West
145,3009.6765188834156,Queens,Long Island City/Hunters Point
186,3013.200328407225,Manhattan,Penn Station/Madison Sq West
36,3034.200328407225,Brooklyn,Bushwick North
80,3036.784893267652,Brooklyn,East Williamsburg
89,3044.361247947455,Brooklyn,Flatbush/Ditmas Park
114,3058.8128078817736,Manhattan,Greenwich Village South
142,3090.5139573070605,Manhattan,Lincoln Square East
90,3133.0,Manhattan,Flatiron
17,3147.272577996716,Brooklyn,Bedford
225,3157.84236453202,Brooklyn,Stuyvesant Heights
112,3308.1231527093596,Brooklyn,Greenpoint
256,3365.057471264368,Brooklyn,Williamsburg (South Side)
144,3416.1480263157896,Manhattan,Little Italy/NoLiTa
42,3423.467105263158,Manhattan,Central Harlem North
236,3476.652960526316,Manhattan,Upper East Side North
181,3518.9540229885056,Brooklyn,Park Slope
107,3592.3579638752053,Manhattan,Gramercy
162,3670.8256578947367,Manhattan,Midtown East
7,3752.5697865353036,Queens,Astoria
237,3921.095238095238,Manhattan,Upper East Side South
163,3924.7159277504106,Manhattan,Midtown North
76,3996.712643678161,Brooklyn,East New York
255,4070.745484400657,Brooklyn,Williamsburg (North Side)
170,4114.46875,Manhattan,Murray Hill
48,4217.07881773399,Manhattan,Clinton East
37,4235.922824302134,Brooklyn,Bushwick South
249,4424.492610837438,Manhattan,West Village
148,4576.866995073891,Manhattan,Lower East Side
164,4643.124794745484,Manhattan,Midtown South
246,4706.7799671592775,Manhattan,West Chelsea/Hudson Yards
234,4917.980295566503,Manhattan,Union Sq
68,4972.435139573071,Manhattan,East Chelsea
61,5058.817733990148,Brooklyn,Crown Heights North
231,5256.261083743842,Manhattan,TriBeCa/Civic Center
230,5536.817434210527,Manhattan,Times Sq/Theatre District
161,5548.458128078818,Manhattan,Midtown Center
79,6134.853858784893,Manhattan,East Village
132,6361.959016393443,Queens,JFK Airport
138,6663.018062397373,Queens,LaGuardia Airport
