date,count(date),average_profit
2022-01-01,340866,9.11241834034514
2022-01-02,242251,8.621777784198596
2022-01-03,274548,8.317208939784098
2022-01-04,269512,8.187856941434537
2022-01-05,274985,7.954930341654518
2022-01-06,287825,7.847491878745483
2022-01-07,331838,7.960463750384284
2022-01-08,357436,7.610700321176344
2022-01-09,289999,7.68429484239568
2022-01-10,283142,7.515246943229462
2022-01-11,308566,7.227192496904718
2022-01-12,295828,7.445343104776737
2022-01-13,303788,7.772448780070238
2022-01-14,370800,7.705670442287098
2022-01-15,408033,7.348147747853987
2022-01-16,358073,7.44454893275923
2022-01-17,280300,7.865489760970047
2022-01-18,302185,7.897009017654896
2022-01-19,304981,7.838902554585184
2022-01-20,342393,7.908257324186028
2022-01-21,422045,7.7288145103011825
2022-01-22,428227,7.49807144341651
2022-01-23,341983,7.798172336051377
2022-01-24,296474,8.276284429663013
2022-01-25,301161,8.205829738910198
2022-01-26,337512,8.267156427030645
2022-01-27,352017,8.619356678796526
2022-01-28,399612,9.026414747305097
2022-01-29,252594,12.721042582167124
2022-01-30,354565,9.951531030981661
2022-01-31,334430,9.429383936847763
2022-02-01,333171,8.652413205231223
2022-02-02,329646,8.971404081954727
2022-02-03,370937,9.227106220193741
2022-02-04,449762,8.917380370062606
2022-02-05,480120,9.104633466634017
2022-02-06,376630,8.87589398083032
2022-02-07,325109,8.802464896388868
2022-02-08,320382,8.847788764662788
2022-02-09,339638,8.944484068331631
2022-02-10,362451,9.453454315204404
2022-02-11,416298,9.524239655247447
2022-02-12,456236,9.253324989698466
2022-02-13,425695,9.606343203468224
2022-02-14,407101,9.401424093775523
2022-02-15,359390,9.433160939370103
2022-02-16,351168,9.464731268225455
2022-02-17,372385,9.825305127757783
2022-02-18,421693,9.823238398550732
2022-02-19,465019,9.170597416450544
2022-02-20,391532,9.278365293258348
2022-02-21,304924,9.707430179323364
2022-02-22,334843,9.282781930636139
2022-02-23,342984,9.404829204860782
2022-02-24,381385,9.626374660776026
2022-02-25,444399,9.38263461438944
2022-02-26,469799,9.43558615493007
2022-02-27,382931,9.711240223434633
2022-02-28,338529,9.141842530477826
2022-03-01,340387,9.183559595401514
2022-03-02,353023,9.336955325857016
2022-03-03,390922,9.736248637835546
2022-03-04,438471,9.345380880377334
2022-03-05,466203,8.592789514439817
2022-03-06,377295,9.079228614215323
2022-03-07,326340,8.967077618435097
2022-03-08,344402,9.061301502314716
2022-03-09,411900,9.133704151493697
2022-03-10,386263,9.859491848818594
2022-03-11,407323,9.949054411364395
2022-03-12,512254,8.716585541548334
2022-03-13,395644,9.427611716594381
2022-03-14,324783,9.62549816338976
2022-03-15,334494,9.455006218347766
2022-03-16,361115,9.320821926533398
2022-03-17,404690,9.491010699548333
2022-03-18,442531,9.930465210347124
2022-03-19,470530,9.201572078295216
2022-03-20,388602,10.050361449503662
2022-03-21,324301,9.43481657472603
2022-03-22,332784,9.196601879898552
2022-03-23,371523,9.134739733475921
2022-03-24,407287,9.753395099770486
2022-03-25,431185,9.379536973689152
2022-03-26,478320,8.81028083709729
2022-03-27,409981,9.24056153821796
2022-03-28,368892,9.37681367446363
2022-03-29,375984,9.278082577982273
2022-03-30,385275,9.319154785543146
2022-03-31,399737,9.862946662430673
2022-04-01,456520,10.219354683255922
2022-04-02,466961,9.980563644501833
2022-04-03,398035,9.833067946286196
2022-04-04,333470,9.997564068732435
2022-04-05,349815,9.921513457113251
2022-04-06,393060,10.242784613036735
2022-04-07,447206,10.536910484206713
2022-04-08,433898,10.264814057681841
2022-04-09,476843,10.043245848214067
2022-04-10,405474,10.073221414936503
2022-04-11,334817,9.883069378197561
2022-04-12,371254,12.61867769774816
2022-04-13,376318,10.868719806121423
2022-04-14,409571,10.872638150650022
2022-04-15,411872,10.876173325693594
2022-04-16,447391,10.000495584399435
2022-04-17,373813,9.946251976255356
2022-04-18,333543,9.949000668579268
2022-04-19,353786,9.94109781054073
2022-04-20,363366,10.0966527688334
2022-04-21,382297,10.097334480783212
2022-04-22,424712,10.029482378647034
2022-04-23,464234,10.29101552234426
2022-04-24,383310,11.002401502700334
2022-04-25,328776,9.478079239360751
2022-04-26,352084,9.770072880335276
2022-04-27,378132,10.36113701035617
2022-04-28,403534,10.548882547691349
2022-04-29,439703,10.352269281765375
2022-04-30,472567,10.311291224312875
2022-05-01,371536,12.386293656603861
2022-05-02,309935,10.546657686288874
2022-05-03,346901,10.402103827893155
2022-05-04,379044,10.241653844936355
2022-05-05,408126,10.604080627061231
2022-05-06,487177,10.749225004464495
2022-05-07,505091,9.081085071798947
2022-05-08,372390,9.80732793576619
2022-05-09,312144,9.744557672099905
2022-05-10,352809,10.307579625236409
